First_pokemon,Second_pokemon,id_primer_ataq,nombre1,tipo1_id1,tipo2_id1,nombre2,tipo1_id2,tipo2_id2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,P1_type1,P1_type2,P2_type1,P2_type2,Winner
266,298,266,342,15,10,493,9,1,-20,-6,10,-15,10,-19,1.0,0.5,4.0,1.0,1
702,701,702,737,9,5,690,15,5,0,-39,-18,18,39,0,2.0,2.0,0.5,1.0,1
191,668,191,698,4,7,44,14,12,-20,-35,10,-45,10,0,1.0,1.0,1.0,1.0,1
237,683,237,635,6,12,159,2,12,-37,-80,-50,10,-50,-28,0.5,1.0,1.0,1.0,1
151,231,151,497,15,18,615,0,16,50,50,-105,105,-160,50,2.0,2.0,1.0,1.0,0
657,752,657,306,0,3,5,16,8,-10,-3,-100,7,-100,5,0.25,1.0,0.5,1.0,0
192,134,192,477,14,7,308,11,15,-25,0,10,-45,-50,-25,0.5,1.0,1.0,0.5,1
73,545,73,372,5,12,233,8,2,-80,-20,-70,-65,-85,-55,0.0,1.0,1.0,1.0,1
220,763,220,526,0,12,99,17,12,0,12,28,-23,-28,-29,1.0,1.0,1.0,1.0,1
302,31,302,759,17,7,524,3,12,5,-25,-10,5,-20,-5,1.0,0.5,4.0,1.0,1
442,130,442,659,12,7,661,17,12,10,10,-25,-40,-25,-25,1.0,1.0,1.0,1.0,1
701,624,701,690,15,5,770,8,12,53,99,5,17,25,78,1.0,0.0,1.0,1.0,0
15,283,15,453,0,12,674,17,10,-50,-90,-35,-60,-65,-30,1.0,1.0,1.0,0.5,1
151,87,151,497,15,18,632,17,15,-25,-15,15,15,-10,25,1.0,0.5,1.0,1.0,0
269,462,269,442,15,1,468,0,7,30,70,100,1,70,5,4.0,1.0,2.0,0.5,0
763,448,763,99,17,12,328,0,12,-27,-32,11,3,12,-21,1.0,1.0,1.0,1.0,1
143,263,143,340,17,11,555,3,12,40,0,5,-30,-5,-55,1.0,1.0,2.0,1.0,1
365,240,365,671,12,7,525,11,10,-55,-60,-20,-20,15,0,1.0,1.0,2.0,0.0,1
499,774,499,424,5,17,74,15,4,20,95,-62,90,-80,62,1.0,4.0,0.25,1.0,0
563,578,563,581,17,12,476,14,12,-21,45,0,1,-25,41,1.0,1.0,1.0,1.0,0
440,687,440,540,17,12,52,1,17,-1,-59,-32,21,6,-20,1.0,1.0,1.0,0.5,1
373,441,373,757,17,10,182,17,17,26,-8,-15,-35,-30,0,0.5,2.0,1.0,0.5,1
654,671,654,212,17,8,82,8,6,-5,-15,-40,-80,-5,-40,2.0,2.0,2.0,0.5,1
121,355,121,570,10,16,409,6,10,35,10,20,-100,-60,20,2.0,1.0,0.5,2.0,0
609,649,609,514,9,12,181,3,7,-10,-40,-10,-5,-10,-73,0.5,1.0,0.5,2.0,1
270,708,270,364,14,7,777,2,3,6,-60,10,-30,54,20,1.0,0.5,1.0,2.0,0
460,568,460,764,0,10,663,12,12,-25,-31,15,14,-5,-44,1.0,1.0,1.0,1.0,1
626,767,626,695,17,16,719,15,2,-4,-11,26,8,0,-26,1.0,1.0,1.0,1.0,1
139,451,139,685,12,12,369,3,12,-5,-20,16,-55,-9,40,1.0,1.0,1.0,1.0,0
694,747,694,164,0,17,448,14,12,-16,61,36,-35,-33,5,2.0,1.0,0.5,1.0,0
455,549,455,557,15,12,383,17,12,-3,65,-40,-35,-50,-42,1.0,1.0,2.0,1.0,1
181,301,181,347,0,7,676,12,7,-5,-50,-10,5,60,-40,0.5,1.0,1.0,2.0,1
208,184,208,668,9,12,119,13,7,-10,-15,-25,35,5,-100,0.25,1.0,2.0,2.0,1
536,365,536,191,3,7,671,12,7,5,25,47,65,32,36,2.0,1.0,1.0,0.5,0
260,381,260,373,6,12,22,15,0,-30,-50,-63,0,-25,38,1.0,1.0,2.0,0.5,1
471,269,471,226,17,10,442,15,1,11,-81,-82,-3,-38,-32,2.0,2.0,0.5,1.0,1
621,287,621,591,1,5,778,12,12,12,45,29,5,29,-12,1.0,2.0,1.0,1.0,1
406,134,406,367,17,12,308,11,15,-22,-20,20,-75,-30,2,1.0,1.0,0.5,1.0,0
592,503,592,404,12,4,153,13,1,33,-30,16,20,51,-45,1.0,2.0,2.0,0.5,1
564,242,564,510,12,12,567,17,12,10,-10,4,-30,4,-23,1.0,1.0,1.0,1.0,1
579,242,579,522,12,7,567,17,12,15,-10,15,-29,-5,-22,1.0,1.0,1.0,1.0,1
200,719,200,31,17,4,91,9,12,44,-11,15,12,35,12,0.5,1.0,2.0,1.0,0
376,135,376,34,10,15,174,3,12,-25,-43,-2,-55,-15,-50,2.0,1.0,0.0,1.0,0
76,441,76,47,9,14,182,17,17,-34,-11,-53,-41,-71,-20,1.0,0.0,0.5,1.0,1
667,645,667,179,14,12,724,11,12,4,-10,-10,5,-20,-29,1.0,1.0,0.5,1.0,1
475,400,475,67,12,12,595,11,18,-35,6,-26,-31,-14,40,1.0,1.0,1.0,1.0,0
3,737,3,731,9,14,549,6,13,-6,14,11,-9,34,-26,0.5,1.0,2.0,1.0,1
435,45,435,703,9,10,303,12,4,-20,64,85,30,60,36,1.0,1.0,1.0,1.0,0
231,146,231,615,0,16,727,17,12,-110,-55,170,-100,135,-60,1.0,1.0,2.0,1.0,1
510,715,510,643,9,11,317,17,5,-31,-10,-40,-67,-30,-68,2.0,0.5,0.5,2.0,1
456,260,456,611,15,17,373,6,12,-15,-33,81,-28,33,-53,2.0,0.5,1.0,1.0,1
164,751,164,429,14,5,4,16,8,46,40,50,4,50,70,0.5,0.0,1.0,2.0,1
424,754,424,263,10,12,23,4,12,-1,78,68,1,1,61,1.0,1.0,1.0,1.0,0
258,779,258,638,11,15,516,8,9,2,-40,-33,35,5,27,2.0,1.0,2.0,1.0,0
