First_pokemon,Second_pokemon,id_primer_ataq,nombre1,tipo1_id1,tipo2_id1,nombre2,tipo1_id2,tipo2_id2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,P1_type1,P1_type2,P2_type1,P2_type2
129,117,129,606,17,12,356,12,12,-10,37,-10,5,5,38,1.0,1.0,1.0,1.0
660,211,660,201,9,17,561,17,10,-21,9,46,-11,51,-15,4.0,0.5,0.5,1.0
706,115,706,706,3,7,288,5,12,29,-15,17,110,-30,14,1.0,2.0,0.5,1.0
195,618,195,203,3,12,396,9,12,-5,-31,-12,-26,-7,-15,0.5,1.0,1.0,1.0
27,656,27,660,12,7,10,17,12,-125,-15,-50,-9,-14,5,1.0,1.0,1.0,1.0
126,222,126,297,17,12,165,12,12,-70,-30,0,5,-40,15,1.0,1.0,1.0,1.0
436,207,436,95,6,12,682,9,12,14,28,14,28,14,31,2.0,1.0,0.5,1.0
121,36,121,581,10,16,491,13,12,35,68,53,-10,-10,-16,2.0,1.0,0.25,1.0
169,636,169,453,9,12,254,14,12,35,52,50,28,35,35,1.0,1.0,1.0,1.0
302,688,302,775,17,7,60,12,12,-55,-80,-65,15,-65,30,1.0,1.0,1.0,1.0
39,380,39,492,13,12,16,15,0,16,-23,7,15,5,-10,0.5,1.0,1.0,0.5
11,292,11,763,17,12,80,0,12,9,28,25,40,55,43,1.0,1.0,1.0,1.0
228,747,228,564,17,14,457,14,12,-9,47,-1,-28,-26,-19,1.0,1.0,2.0,1.0
302,763,302,775,17,7,101,17,12,-10,-23,-32,-3,-33,41,0.5,1.0,0.5,1.0
455,436,455,568,15,12,95,6,12,53,107,16,7,6,-3,2.0,1.0,0.5,1.0
381,14,381,23,15,0,82,0,12,30,95,65,50,60,0,2.0,1.0,1.0,1.0
205,710,205,313,9,7,344,10,7,-14,-90,-20,-50,15,19,1.0,1.0,0.0,2.0
86,639,86,647,17,15,658,14,12,45,35,25,-65,-10,-5,1.0,0.5,0.5,1.0
128,681,128,246,17,12,465,5,12,0,-18,10,-20,0,-2,1.0,1.0,1.0,1.0
565,570,565,765,12,12,357,1,12,-4,-3,19,-28,19,-29,1.0,1.0,1.0,1.0
496,448,496,482,12,12,334,0,12,58,0,-11,-15,34,-60,1.0,1.0,1.0,1.0
36,378,36,491,13,12,358,15,9,4,21,-10,-6,-32,33,1.0,1.0,1.0,0.5
518,284,518,178,3,12,450,17,10,-25,-27,-43,0,-25,25,0.0,1.0,1.0,2.0
97,376,97,481,13,12,35,10,15,65,65,20,25,30,-5,0.5,1.0,2.0,2.0
690,542,690,62,12,7,510,17,2,10,3,-25,-93,-45,-20,1.0,1.0,1.0,1.0
669,482,669,363,8,6,98,14,12,5,0,5,0,5,-25,2.0,1.0,1.0,1.0
164,15,164,438,14,5,462,0,12,56,170,45,129,75,100,1.0,0.5,1.0,1.0
521,773,521,788,0,7,132,3,4,19,18,29,35,-11,-6,0.5,0.5,2.0,1.0
260,107,260,379,6,12,332,17,12,15,-30,-53,45,30,33,0.5,1.0,2.0,1.0
524,140,524,242,10,7,381,17,12,55,85,70,30,55,15,1.0,1.0,2.0,1.0
789,275,789,49,11,12,599,9,12,-15,-16,20,-73,-50,-92,2.0,1.0,1.0,1.0
412,490,412,461,16,15,89,12,7,-16,10,55,-37,38,-41,1.0,1.0,0.5,0.5
76,9,76,48,9,14,419,6,7,-28,-29,-43,-89,-85,-60,0.25,1.0,2.0,2.0
100,449,100,228,8,14,626,3,12,-15,-30,-4,60,1,35,1.0,1.0,1.0,1.0
335,347,335,404,5,15,686,13,12,-70,-33,-28,-33,-28,5,0.5,2.0,1.0,1.0
137,542,137,536,0,12,510,17,2,-25,5,0,-95,-50,-15,1.0,1.0,1.0,1.0
437,40,437,476,6,5,487,13,10,-17,-24,-25,-7,-23,-4,1.0,0.5,1.0,2.0
222,635,222,165,12,12,99,12,12,25,-25,10,0,5,-70,1.0,1.0,1.0,1.0
363,41,363,73,9,12,105,4,12,-20,40,-8,25,-25,0,1.0,1.0,1.0,1.0
374,482,374,113,17,12,98,14,12,-2,50,15,-15,-15,-10,1.0,1.0,1.0,1.0
353,339,353,501,6,10,392,3,12,-10,-15,-20,-40,-15,-70,1.0,2.0,0.0,1.0
152,341,152,315,15,18,538,3,12,-30,30,50,-30,-30,-40,1.0,1.0,2.0,1.0
401,702,401,762,11,18,752,9,5,19,-10,18,5,-39,-43,2.0,0.5,2.0,2.0
682,742,682,466,5,12,244,9,12,-58,25,-2,-2,-21,37,1.0,1.0,1.0,1.0
575,509,575,514,17,12,395,17,7,5,33,-2,-7,-72,14,0.5,1.0,0.5,1.0
682,274,682,466,5,12,267,9,12,15,60,15,10,-5,10,1.0,1.0,1.0,1.0
786,773,786,259,8,9,132,3,4,-12,27,65,-23,8,-2,1.0,1.0,0.5,1.0
458,601,458,71,0,12,615,0,9,-5,-24,-25,-11,-15,-6,2.0,1.0,1.0,0.5
130,260,130,674,17,12,379,6,12,-15,-30,18,0,0,2,2.0,1.0,0.5,1.0
323,165,323,33,12,4,439,14,12,-56,-130,-30,-174,-80,-120,1.0,1.0,1.0,1.0
714,502,714,322,17,5,639,13,0,51,22,0,99,35,43,1.0,0.25,1.0,0.5
130,382,130,674,17,12,197,17,12,10,30,35,60,0,5,0.5,1.0,0.5,1.0
399,193,399,662,11,18,784,14,7,5,-35,-20,-40,-20,-70,1.0,1.0,1.0,1.0
135,761,135,177,3,12,640,13,18,15,23,-3,35,25,75,2.0,1.0,1.0,1.0
42,515,42,104,4,12,355,12,12,-15,-15,-22,15,-5,10,1.0,1.0,1.0,1.0
151,703,151,506,15,18,714,7,12,-9,-55,55,-10,-10,-56,2.0,1.0,0.5,1.0
416,591,416,573,11,12,27,12,12,-23,-10,14,40,114,0,1.0,1.0,1.0,1.0
751,137,751,4,16,8,536,0,12,-5,25,-50,95,-20,-25,1.0,1.0,0.25,1.0
614,657,614,336,10,1,312,0,3,45,70,30,8,20,27,1.0,1.0,2.0,0.0
346,74,346,270,13,12,377,5,12,-10,-57,-17,-7,-7,-5,1.0,1.0,0.5,1.0
593,82,593,707,5,12,262,15,10,20,-15,-60,-20,-10,0,2.0,1.0,0.5,1.0
301,94,301,689,12,7,609,17,12,-5,40,5,5,-20,80,1.0,1.0,1.0,1.0
230,474,230,446,0,17,158,8,7,-80,70,96,-25,46,-5,0.25,1.0,1.0,1.0
132,60,132,479,14,4,552,17,12,-10,-7,17,35,70,35,1.0,1.0,1.0,1.0
715,785,715,323,17,5,257,8,9,26,-18,-32,71,15,24,0.5,0.0,1.0,2.0
300,736,300,694,12,7,362,6,13,-22,5,-28,-43,-24,13,1.0,1.0,1.0,1.0
340,182,340,434,3,12,663,0,14,30,15,40,95,40,105,1.0,1.0,1.0,1.0
370,359,370,372,15,15,664,12,12,10,-5,5,35,25,10,1.0,1.0,0.5,1.0
70,788,70,317,14,12,260,8,9,-45,-65,-92,62,-5,51,1.0,1.0,2.0,1.0
519,264,519,383,6,12,186,6,12,-40,-20,-18,35,20,-17,0.5,1.0,0.5,1.0
99,551,99,107,17,11,617,9,12,-50,-5,80,-15,-55,-30,0.5,2.0,2.0,1.0
191,475,191,711,4,7,69,12,12,0,-26,41,36,49,-45,1.0,1.0,1.0,1.0
704,334,704,715,7,12,408,16,12,9,-40,-150,50,10,71,0.5,1.0,1.0,1.0
602,722,602,685,0,9,198,6,12,15,18,50,-12,20,-18,0.5,0.5,4.0,1.0
25,75,25,571,12,12,376,5,12,-60,-74,-45,-40,-50,17,1.0,1.0,2.0,1.0
290,53,290,631,0,12,518,0,9,-10,-60,-25,-35,-55,-15,2.0,1.0,1.0,0.5
487,461,487,59,15,12,781,0,17,-10,11,0,-59,-50,-26,1.0,1.0,1.0,2.0
277,128,277,712,6,12,246,17,12,0,-7,-20,35,0,-18,0.5,1.0,2.0,1.0
740,711,740,210,4,12,338,2,11,-47,-65,-22,-18,64,-20,2.0,1.0,0.0,1.0
341,800,341,538,3,12,755,6,18,-20,-60,-80,-45,-15,25,2.0,1.0,1.0,1.0
549,635,549,390,17,12,99,12,12,25,5,40,35,40,-15,1.0,1.0,1.0,1.0
313,755,313,750,12,12,691,4,12,18,32,14,-4,-2,41,1.0,1.0,1.0,1.0
138,211,138,441,0,7,561,17,10,-30,70,35,0,25,70,1.0,1.0,1.0,0.0
364,273,364,74,9,1,721,9,12,30,70,25,50,5,-15,0.5,1.0,0.5,1.0
390,363,390,168,8,12,73,9,12,-10,-15,90,-25,90,-10,1.0,1.0,1.0,1.0
602,345,602,685,0,9,586,9,14,5,3,45,-50,0,-23,1.0,0.25,0.25,2.0
605,109,605,771,0,14,757,3,12,0,25,49,-15,24,-53,1.0,1.0,1.0,1.0
689,221,689,589,12,7,213,0,17,-5,-7,-90,-23,-10,20,0.5,1.0,0.5,1.0
116,141,116,287,5,12,272,17,7,-45,-20,0,-25,10,-5,0.5,1.0,1.0,2.0
257,247,257,289,5,12,299,1,6,5,35,65,-45,60,5,2.0,1.0,0.5,1.0
2,246,2,307,9,14,635,16,7,-5,-18,-77,40,10,-10,0.25,0.0,1.0,2.0
256,269,256,731,5,12,451,15,1,-65,-129,-115,-60,-85,-36,4.0,1.0,0.5,0.5
157,163,157,26,11,7,464,14,12,-16,-25,10,-59,35,-45,0.5,1.0,1.0,1.0
106,617,106,302,14,12,130,6,15,-20,43,-35,-67,10,12,0.5,1.0,1.0,0.5
