battle_number,First_pokemon,Second_pokemon,Winner
0,266,298,1
1,702,701,1
2,191,668,1
3,237,683,1
4,151,231,0
5,657,752,0
6,192,134,1
7,73,545,1
8,220,763,1
9,302,31,1
10,442,130,1
11,701,624,0
12,15,283,1
13,151,87,0
14,269,462,0
15,763,448,1
16,143,263,1
17,365,240,1
18,499,774,0
19,563,578,0
20,440,687,1
21,373,441,1
22,654,671,1
23,121,355,0
24,609,649,1
25,270,708,0
26,460,568,1
27,626,767,1
28,139,451,0
29,694,747,0
30,455,549,1
31,181,301,1
32,208,184,1
33,536,365,0
34,260,381,1
35,471,269,1
36,621,287,1
37,406,134,0
38,592,503,1
39,564,242,1
40,579,242,1
41,200,719,0
42,376,135,0
43,76,441,1
44,667,645,1
45,475,400,0
46,3,737,1
47,435,45,0
48,231,146,1
49,510,715,1
50,456,260,1
51,164,751,1
52,424,754,0
53,258,779,0
54,360,208,1
55,723,646,1
56,384,533,1
57,734,673,1
58,141,721,0
59,244,741,0
60,509,217,0
61,633,44,0
62,595,719,0
63,606,40,0
64,368,598,0
65,746,584,0
66,350,187,0
67,303,198,0
68,169,701,1
69,569,115,1
70,231,172,1
71,71,440,0
72,659,610,1
73,570,557,1
74,712,40,0
75,451,352,0
76,661,95,1
77,540,4,0
78,130,319,0
79,125,418,1
80,309,276,1
81,579,612,1
82,716,80,1
83,482,535,1
84,376,37,1
85,6,328,1
86,343,159,1
87,509,574,1
88,546,530,0
89,486,229,1
90,686,213,1
91,304,386,1
92,514,732,1
93,161,757,0
94,150,265,1
95,436,701,1
96,221,265,1
97,436,603,1
98,242,365,0
99,792,251,0
100,607,295,0
101,439,209,1
102,657,360,0
103,436,40,1
104,325,408,1
105,472,89,0
106,71,777,0
107,47,615,0
108,5,670,0
109,793,314,1
110,195,461,0
111,493,568,0
112,400,341,1
113,63,297,0
114,541,446,0
115,141,152,0
116,54,115,1
117,378,161,1
118,224,316,1
119,311,398,1
120,298,35,0
121,356,132,0
122,103,370,0
123,503,453,0
124,600,598,0
125,445,45,0
126,360,548,1
127,303,133,1
128,51,331,0
129,171,559,0
130,758,129,0
131,6,255,0
132,698,154,1
133,92,491,1
134,381,73,0
135,354,271,1
136,219,49,0
137,736,244,1
138,683,245,1
139,533,452,0
140,200,588,1
141,403,636,0
142,56,561,1
143,54,119,1
144,629,141,0
145,547,779,0
146,380,547,1
147,407,307,1
148,153,559,0
149,306,268,0
150,89,382,0
151,54,32,1
152,172,745,1
153,16,110,1
154,537,734,0
155,278,94,0
156,342,643,1
157,435,165,1
158,638,691,1
159,734,718,1
160,298,781,0
161,42,113,0
162,97,316,0
163,416,397,1
164,483,400,0
165,275,155,1
166,154,461,0
167,309,4,1
168,539,30,1
169,545,266,0
170,283,340,1
171,232,254,1
172,384,427,1
173,161,781,0
174,496,420,0
175,268,159,1
176,473,593,0
177,550,475,0
178,199,785,1
179,385,732,1
180,488,196,0
181,30,587,0
182,36,494,1
183,513,184,1
184,129,106,0
185,6,604,0
186,137,315,0
187,83,509,1
188,585,534,0
189,743,57,1
190,220,723,1
191,764,665,0
192,708,439,0
193,28,545,1
194,23,796,0
195,698,147,1
196,306,635,1
197,158,666,0
198,55,750,1
199,513,439,0
200,769,264,1
201,232,499,1
202,23,623,0
203,97,250,1
204,324,544,1
205,517,10,0
206,586,461,1
207,779,349,1
208,669,226,1
209,623,53,0
210,538,718,1
211,438,242,0
212,523,759,0
213,14,103,1
214,378,152,1
215,478,361,0
216,137,698,0
217,354,739,1
218,233,684,1
219,291,605,0
220,96,264,1
221,730,137,1
222,129,744,0
223,611,107,0
224,58,560,1
225,658,146,0
226,625,753,0
227,524,27,0
228,794,474,0
229,365,391,1
230,592,585,0
231,512,586,0
232,526,424,1
233,70,456,0
234,540,288,0
235,347,389,0
236,689,128,1
237,211,701,1
238,336,385,0
239,594,80,1
240,785,490,1
241,425,308,0
242,27,731,1
243,459,399,0
244,421,494,0
245,578,768,1
246,63,82,0
247,257,221,0
248,4,150,0
249,546,333,0
250,308,544,1
251,213,442,0
252,575,302,1
253,209,645,0
254,92,768,0
255,116,672,0
256,132,69,1
257,568,396,0
258,644,218,0
259,321,163,1
260,17,164,1
261,715,190,0
262,51,57,0
263,237,448,1
264,580,676,0
265,789,726,1
266,420,718,0
267,83,499,1
268,526,159,1
269,115,56,1
270,358,636,0
271,54,532,1
272,534,798,0
273,768,179,0
274,94,724,1
275,795,437,0
276,313,432,1
277,305,251,0
278,269,289,0
279,593,733,1
280,568,428,1
281,290,287,1
282,762,733,0
283,217,100,1
284,668,87,0
285,165,49,0
286,123,771,1
287,261,154,1
288,225,640,1
289,313,103,1
290,106,505,1
291,453,614,1
292,107,48,1
293,722,590,1
294,559,431,1
295,141,727,1
296,490,239,0
297,490,340,1
298,373,128,1
299,3,730,0
300,502,91,0
301,714,104,0
302,788,276,1
303,459,16,1
304,432,143,0
305,724,2,0
306,648,533,0
307,250,357,0
308,155,439,0
309,447,20,1
310,366,371,0
311,337,770,0
312,358,765,0
313,198,110,0
314,152,760,1
315,164,577,0
316,174,646,1
317,438,59,1
318,614,443,0
319,789,127,1
320,504,421,1
321,565,214,1
322,158,635,1
323,386,21,1
324,408,404,1
325,349,440,0
326,410,295,0
327,83,569,1
328,249,411,0
329,173,609,0
330,770,572,1
331,51,473,1
332,452,106,1
333,550,769,0
334,525,740,0
335,464,762,1
336,147,798,1
337,572,45,0
338,569,741,0
339,193,28,1
340,247,445,0
341,511,280,1
342,435,44,1
343,794,359,0
344,196,758,1
345,470,410,1
346,631,164,1
347,451,790,0
348,211,442,1
349,773,582,0
350,403,59,1
351,401,413,1
352,228,679,1
353,753,196,1
354,578,434,1
355,210,40,1
356,38,716,1
357,18,458,1
358,538,742,0
359,702,627,0
360,403,412,0
361,517,136,1
362,465,89,0
363,505,502,0
364,601,644,1
365,459,84,1
366,548,525,1
367,707,521,1
368,14,62,1
369,728,501,0
370,182,246,1
371,741,117,0
372,29,431,1
373,719,574,1
374,209,477,1
375,492,37,1
376,425,43,0
377,207,284,1
378,749,512,1
379,539,153,1
380,152,159,1
381,738,18,0
382,182,579,1
383,69,302,0
384,173,713,1
385,488,199,0
386,683,506,0
387,2,619,0
388,735,255,0
389,70,800,0
390,120,67,1
391,738,610,1
392,68,397,1
393,540,714,0
394,184,197,0
395,577,58,1
396,750,29,1
397,391,640,0
398,211,737,0
399,462,694,1
400,337,147,1
401,459,644,1
402,615,652,0
403,786,180,0
404,247,594,1
405,536,720,0
406,729,586,1
407,715,80,0
408,516,740,0
409,440,525,1
410,174,410,1
411,634,424,1
412,252,797,1
413,317,294,0
414,463,790,1
415,770,7,1
416,110,783,0
417,454,469,1
418,241,731,0
419,688,190,0
420,271,21,0
